Cell ID,AP amplitude (mV),AP threshold (mV),AP width (ms),Adaptation ratio,After hyperpolarization (mV),Avg ISI,F I curve slope,Fast trough V (long square) (millivolts),Fast trough V (ramp) (millivolts),Fast trough V (short square) (millivolts),Input resistance (MΩ),Peak V (long square) (millivolts),Peak V (ramp) (millivolts),Peak V (short square) (millivolts),Rebound APs (number),Resting membrane potential (mV),Sag ratio,Threshold I (long square) (picoamps),Threshold I (ramp) (picoamps),Threshold I (short square) (picoamps),Threshold V (long square) (millivolts),Threshold V (ramp) (millivolts),Threshold V (short square) (millivolts),Trough V (long square) (millivolts),Trough V (ramp) (millivolts),Trough V (short square) (millivolts),Upstroke/downstroke ratio (long square),Upstroke/downstroke ratio (ramp),Upstroke/downstroke ratio (short square)
601506507,53.0625019073486,-31.9687519073486,0.886666666666699,0.148764044943822,13.2499980926513,22.25,0.061512414811283,-44.6250038146973,-44.96875,-49.9479179382324,222.916573286056,22.25,22.0312519073486,37.0416679382324,0.0,-73.266871770223,0.013307712972164,29.9999980926514,29.0,410.0,-33.8437538146973,-32.40625,-34.875,-45.0,-45.7500038146973,-74.2239608764649,3.10334459360971,2.99198612022344,3.03469678558884
601790961,60.8750038146972,-54.0937538146972,0.5399999999999,0.209605337465993,13.9374961853027,120.857142857143,0.392382897291916,-68.03125,-66.6875,-70.8437576293945,157.421812415123,6.78125,13.71875,11.2291669845581,0.0,-80.4909348487854,0.03520230576396,110.0,122.125007629395,560.0,-54.0937538146973,-52.15625,-54.6875,-68.25,-66.8125,-81.0729141235352,2.10043620619183,2.08521766132328,2.02024907014117
601803754,71.40625,-33.28125,0.439999999999899,0.0,15.7187538146972,0.0,0.142099185293871,-49.0000038146973,-49.375,-52.15625,176.53851211071,38.125,38.4375,36.234375,0.0,-65.9924812316895,0.212684467434883,90.0,97.25,830.0,-33.28125,-33.3750038146973,-36.8828163146973,-49.625,-49.5000038146973,-66.9375019073486,1.98835788941139,1.92201183874375,1.83777316023098
601808698,68.0156269073486,-49.171875,0.3999999999999,0.034133114674912,9.70312881469727,41.3313043478261,0.109654180000548,-59.4687538146973,-58.3437538146973,-60.8046913146973,212.369859218597,18.7187519073486,18.4375019073486,20.4765625,0.0,-67.4596677507673,0.086260490119457,40.0,35.875,260.0,-49.84375,-48.7500038146973,-50.78125,-60.2500038146973,-60.3437538146973,-68.125,2.09279924645896,2.11335509273494,2.08037579939789
601810307,57.578125,-31.75,0.38,0.023364393767029,18.4375,73.7723076923077,0.434453122617452,-50.5312538146973,-48.71875,-52.7864646911621,176.171898841857,26.125,25.5937519073486,27.2239589691162,0.0,-64.810244173617,0.278224736452103,80.0,91.1249923706055,540.0,-32.53125,-31.3750019073486,-34.7135429382324,-50.5937538146973,-48.8125,-66.078125,1.72911656345175,1.68749385336266,1.75484425961885
601811091,29.5625,-31.53125,1.0679999999999,0.0113702463663316,17.1124992370605,43.1927272727272,0.386583011583011,-49.0000038146972,-50.9062538146972,-56.4062528610229,407.942742109298,-3.75000023841857,4.56250047683715,-6.91406285762786,0.0,-67.6740858895438,0.0204472970217466,50.0,45.8749961853027,400.0,-33.1562538146972,-32.4375038146972,-38.8046889305114,-50.4375038146972,-51.84375,-68.8437519073486,2.52886810033888,2.24008567721163,1.81995314375032
602231708,75.9062557220459,-50.0312538146972,0.7199999999998,0.187865886109641,11.4375,18.79,0.02798713238988,-61.4687538146973,-51.9375,-62.9114646911621,723.771214485168,25.8750019073486,5.15625,24.6145839691162,0.0,-73.1440098203462,0.155356258153915,29.9999980926514,116.125,239.999984741211,-50.0312538146973,-36.5625038146973,-50.7708365122477,-61.6875038146973,-52.0,-73.8854192097982,2.18474844887193,1.02009312495309,2.13795291886926
602535278,59.3125,-41.25,0.5600000000001,0.090400523637976,12.9687538146972,51.815,0.350245111335412,-54.2187538146973,-52.1041704813639,-57.7633972167969,224.739581346511,18.0625,16.1354179382324,8.38839244842529,0.0,-70.2850646972656,0.203662991523743,90.0,116.583335876465,620.0,-41.25,-36.0625,-40.3303587777274,-54.25,-52.2291679382324,-70.9062576293945,1.93418271046598,1.78757937158811,1.89885279703162
604626221,63.8125019073486,-38.78125,0.7399999999999,0.102781562526983,13.5000038146972,19.5133333333333,0.092362153408014,-52.2812538146973,-52.3125038146973,-54.7357940673828,313.41153383255,25.0312519073486,23.765625,21.9318192221902,0.0,-65.3374919184932,0.051042873412371,20.0,22.0,220.0,-38.78125,-38.0,-40.8579559326172,-53.4687538146973,-53.578125,-66.0710220336914,2.86371275193492,2.76995295122288,2.92292374072609
604646725,62.8593769073486,-34.390625,0.75,0.0,11.5312538146972,22.6200000000001,0.018589393037461,-46.2812538146973,0.0,-51.9114608764649,256.249904632568,30.1562519073486,0.0,27.0572923024495,0.0,-70.0494505783607,0.033538118004799,50.0,0.0,390.0,-35.4375038146973,0.0,-40.8645820617676,-46.34375,0.0,-71.203125,2.94685620329946,0.0,2.79598626024111
