Cell ID,AP Fano factor,AP amplitude (mV),AP amplitude adaptation index,AP amplitude average adaptation index,AP coefficient of variation,AP threshold (mV),AP width (ms),Afterdepolarization (mV),Burstiness,ISI Fano factor,ISI average adaptation index,ISI coefficient of variation,Input resistance (MΩ),Latency (ms),Latency @ +20pA current (ms),Rebound (mV),Rebound APs (number),Resting membrane potential (mV),Rheobase (pA),Sag area (mV*s),Sag ratio,Sag time (s),Wildness
20190509_sample_3,0.128771483542004,65.2772244066,0.958439677540611,0.999083218794724,0.0465273975924049,-36.1502915620803,1.39999999999998,0.0,0.428274428274428,0.00180391788142706,1.06653812682398,0.237190080208751,235.637367339183,66.6,25.24,2.39325159070459,0,-61.8010466322302,60.0,16.6437173116206,1.11662901962462,0.16644,9
20190509_sample_4,1.73348653835347,88.9125913381576,0.845775443221024,0.98637882119737,0.187139099490492,-29.6818986535072,1.11999999999998,0.0,0.0,0.00109502532275204,1.04546328866969,0.211103179129148,337.06092454493,43.7599999999999,25.2,0.656003043410471,0,-57.993622328341,40.0,0.0,1.00322915956842,0.0,0
20190509_sample_5,0.538301836303228,66.9661797583103,0.847102580349982,0.996616204749945,0.118044543700738,-34.7095355391502,1.39999999999995,0.0,0.56072874493927,0.00129707499143663,1.09870261169981,0.225062718789739,232.599638597418,179.96,23.52,3.21319809786818,0,-58.2052431821823,60.0,0.0,1.0775113281978,0.0,0
20190509_sample_9,3.48514329101445,97.695454955101,0.718532073026051,0.990502653168087,0.26724247034522,-46.5818643569946,1.0,0.0,0.489953632148377,0.00307876036824355,1.36293473826812,0.376918413361794,326.360335672895,11.84,7.36,3.7048766091791,2,-55.9047485232353,20.0,0.0,1.04811394805222,0.0,0
20190513_sample_1,4.76781132137242,66.4373449981212,0.827937745124708,1.00139357904724,0.342871526879761,-46.0057519376277,1.2,0.0,0.787114845938375,0.0046782160746024,1.50835120048479,0.440876682065364,242.381886601714,34.92,22.1999999999999,6.40930436347099,3,-62.0387952268123,30.4,54.0595340070128,1.50511144993249,0.47484,0
20190513_sample_2,2.15419344954378,88.4490199387073,0.738173763427907,0.952484055962119,0.19119188122941,-35.8806811273098,1.24000000000001,0.0,0.0,0.0616512918643347,1.65092067333303,0.934378009856012,307.011734948803,44.2,26.8,2.12588459817321,0,-61.3093392275273,40.0,0.0,1.01587981621469,0.0,0
20190513_sample_3,0.628713032791967,72.0889531075954,0.825519084548161,0.988955421364284,0.122019497515032,-36.1149981617927,0.959999999999988,0.0,0.0,0.000490523119392683,1.13581577118089,0.20364023630505,375.646318532526,31.1599999999999,17.16,3.67272149071227,0,-70.4786120325327,60.0,0.0,1.06540824565958,0.0,0
20190513_sample_4,0.943499871780245,90.2963727712631,0.806833451522728,0.992500036473012,0.140995858998624,-35.7611700892448,0.719999999999998,0.0,0.0,0.000141068577277379,1.04009912007588,0.104063515443561,510.317270809163,24.72,13.84,12.5599911180667,1,-56.0718350872397,20.0,51.4720921948551,1.0832030493804,0.34932,0
20190513_sample_5,0.791331858314118,60.3742580860853,0.704391379871666,1.01278257219706,0.148123081282386,-33.2325808703899,1.0,5.27526438236236,0.769433465085638,0.00259478891648546,1.66280083756165,0.322593636946749,291.5376490963,34.36,21.08,7.35476791048907,0,-58.8633901633322,60.0,33.6279006579516,1.08839219635928,0.317,0
20190514_sample_2,2.78630395654457,81.9956436753273,0.922254023799402,0.994449490829506,0.249776453576813,-52.7116395533084,0.719999999999998,0.0,0.0,0.000427289934075175,1.04088833678149,0.180233734174888,249.251452115674,66.52,28.7199999999999,2.88691398594484,0,-72.692180468142,25.2054794520547,0.0,1.06671264284212,0.0,0
20190514_sample_4,13.0794280250535,94.0735824406147,0.987012806767217,0.993114744447288,0.562962086522289,-48.766266554594,1.52000000000002,0.0,0.55075075075075,0.000111771119150001,0.805390745145666,0.0756417899567265,80.0483288030538,168.24,23.04,1.10138782485941,0,-71.0804838329553,260.0,0.0,0.999727503603235,0.0,0
20190514_sample_7,5.38976876375882,54.7179635614156,0.954650301820093,1.00247315259709,0.471974155824823,-28.1400065869092,1.91999999999997,0.0,0.191515151515151,0.00433899622368216,1.11072459800618,0.43550769215432,249.511059809476,180.8,51.08,10.1673851406818,0,-52.66368637681,56.3636363636363,29.8774932721257,1.17690228574977,0.31608,0
20190514_sample_8,0.188894806385191,80.1035258919,0.947252060259844,0.995296112787361,0.0551975207398409,-26.0525215417146,0.639999999999973,0.0,0.0,0.000321180238837287,1.03183549279155,0.161907822495703,120.808047813673,243.68,21.04,0.350907390792627,0,-53.5350805751979,160.0,0.0,1.04729444158949,0.0,0
20190515_sample_1,0.265637256699646,69.4056898355484,0.894373004125947,0.993144463508836,0.0823595378812864,-33.7825492024421,1.52000000000002,0.0,0.0,0.00649138003174146,1.03895385806596,0.432798319734038,329.037678399433,186.44,22.6,1.10946560549542,0,-61.8966945156455,40.0,24.6428513163329,1.122134073276,0.21408,0
20190515_sample_10,1.23846195564891,86.3895118236541,0.813714868353645,0.963341157345803,0.14299850209435,-32.0832207798957,1.19999999999997,0.0,0.0,0.00181258026848639,1.08899373841428,0.232866590140782,556.644347856442,58.64,16.44,1.69815275863977,0,-56.7086641982197,20.0,0.0,1.01851621282344,0.0,0
20190515_sample_11,0.499454739702055,74.6876746416091,0.712707813571038,0.976921421016548,0.126430017840312,-25.0015594065189,1.03999999999998,0.0,0.0,0.00315487532507266,1.19328634354647,0.269058977698807,265.903767712414,30.7999999999999,18.48,2.5437453160038,0,-56.660420397669,100.0,0.0,1.03908588665789,0.0,0
20190515_sample_12,1.65442725320889,93.487873673439,0.789409875032425,0.97240631828334,0.172952918172463,-38.1676033139228,1.11999999999999,0.0,0.0,0.0010374247671976,1.08170436573164,0.194514563571433,479.984631339709,18.7999999999999,8.12,9.40944993805955,3,-52.6818902492523,20.0,0.0,1.02676748783758,0.0,0
20190515_sample_13,2.78064605931727,77.6056200265884,0.801493842303399,0.929922576936768,0.238436143220895,-27.9243178665637,0.800000000000022,0.0,0.0,0.00473779517636176,1.62644177062466,0.438336479675676,348.810405330111,55.52,22.12,11.3796808011837,2,-43.0328978620469,20.0,38.4548982495071,1.13092670732673,0.37424,0
