Cell ID,After depolarization (mV),ISI adaptation index,Max number of APs,Membrane time constant (ms),Sex,Spike frequency adaptation,Upstroke-to-downstroke ratio,VISp_T_1,VISp_T_2,VISp_T_3,CTKE_T_1,CTKE_T_2,CTKE_T_3,VISp_MET_1,VISp_MET_2,VISp_MET_3
Q2C37,0.0,1.30487804878048,53,10.8535371244928,M,0.793103448275862,1.20410584584829,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C38,0.0,2.04330708661417,27,12.9936973234197,F,0.8,2.02779045127727,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C39,0.0,3.19656019656019,3,10.7716773060206,M,,2.30992029223543,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C40,5.91911002993583,1.2258064516129,19,16.6292204553826,M,0.461538461538461,1.34375316446577,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C41,0.0,1.10344827586207,30,10.3490814753277,F,0.25,0.982807084981679,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C42,0.0,1.34311512415349,25,9.58772984301341,M,0.785714285714285,2.68762937121761,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C43,0.0,1.13779527559054,36,16.8218473813679,M,0.636363636363636,1.35737576184507,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C44,0.0,1.12903225806452,18,12.0698322898653,M,0.384615384615384,1.5621253977108,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C45,0.0,3.53957996768982,20,14.3562954448749,M,0.428571428571428,2.80050274661607,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C46,0.0,1.80961663417803,21,8.98989028600943,F,1.0,2.08784933479639,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C47,0.0,1.23557692307692,33,19.9096723518023,M,0.5,1.68573457194551,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C48,0.0,2.44482758620689,21,14.0083488235313,M,0.75,2.94408493290654,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C49,0.0,1.45091324200913,26,8.85908656477575,F,0.857142857142857,2.28796930189426,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C50,0.0,4.31506849315068,16,10.1443813320285,M,0.6,2.06243256738475,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C51,0.0,1.32207384131971,29,12.4533088088331,M,0.928571428571428,2.90975109756189,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C52,0.0,1.38285714285714,6,14.4003440689205,M,0.0,1.25048086675853,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C53,0.0,1.22068965517241,55,12.0521953160421,F,0.71875,1.24444134819164,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C54,0.0,1.01379310344827,35,13.6169382998251,M,0.59090909090909,1.39199158728174,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C55,0.0,2.10263929618768,22,11.5977372160508,F,0.692307692307692,2.40761013933132,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C56,0.0,1.43307086614173,14,12.576273302767,M,0.0,1.08036710022715,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C57,0.0,1.17302798982188,18,18.4612231471537,M,0.285714285714285,1.63737869278711,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C58,0.0,1.07421875,168,6.17763318661941,M,0.941860465116279,0.750493959408111,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C59,0.0,1.06322580645161,30,6.95939702089489,M,0.8125,2.69026655308968,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C60,0.0,1.19095477386934,10,16.6664235328161,M,0.111111111111111,1.47867351037568,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C61,0.0,1.38048780487804,60,11.3573829895808,M,0.84375,1.26171400680611,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C62,0.0,1.53690851735015,19,12.8792543732939,M,0.9,2.43652233471307,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C63,0.0,1.39080459770115,20,9.47553853668194,F,0.666666666666666,1.18998690914328,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C64,0.0,1.01642036124794,108,9.59266964862019,M,0.928571428571428,0.950161275406214,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C65,0.0,1.04761904761904,91,11.2815492763147,M,0.914893617021276,1.00749254894688,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C66,0.0,1.0,24,25.1620961968507,F,0.6,1.3266610309171,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C67,0.0,1.52346570397111,21,10.6371402177056,M,0.615384615384615,2.49083398692445,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C68,0.0,5.74561403508772,12,12.5669810690868,F,0.333333333333333,2.93419374873546,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C69,0.0,7.0335429769392,27,16.968347945064,F,0.8,2.63193438599356,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C70,0.0,1.35973597359736,54,12.3685034914827,F,0.827586206896551,1.15084087795292,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C71,0.0,1.53035143769968,63,15.4175718321286,F,0.771428571428571,1.48173909135573,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C72,0.0,1.1504424778761,36,16.2217625079981,M,0.636363636363636,1.35810278162182,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C73,0.0,1.33552631578947,30,16.2785537961892,M,0.428571428571428,1.28816837473476,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C74,0.0,1.18360655737704,21,18.8282004389984,M,0.4,1.29545419825651,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C75,0.0,1.90728476821192,21,15.1220331481061,F,0.75,3.33561974744125,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C76,0.0,1.54471544715448,13,22.332083762318,M,0.181818181818181,1.54774362547811,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C77,0.0,1.17846460618145,28,10.9046596666427,F,0.75,2.15386061124856,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C78,0.0,0.993788819875778,42,17.0467683088994,F,0.708333333333333,1.18519941823531,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C79,0.0,1.31543624161074,13,19.2196138674197,F,0.3,1.27375872736732,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C80,0.0,1.06172839506172,72,9.56838593799416,F,0.411764705882352,0.918884773684462,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C81,0.0,2.35766423357663,27,12.3109116603035,F,0.8,2.57213147059264,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C82,0.0,1.52083333333333,23,10.0257822183777,F,0.916666666666666,1.64359671361428,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C83,0.0,1.25912408759124,59,12.8805349470721,M,0.685714285714285,1.34678186867849,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C84,0.0,0.88855421686747,16,14.9047225058726,F,0.454545454545454,1.9074291582799,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C85,0.0,1.10160427807486,77,4.86009404198616,M,0.833333333333333,0.970386821285341,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C86,0.0,1.24158563949139,18,12.5207155868139,F,0.8,2.37788969999866,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C87,0.0,1.59002169197396,16,13.7908231630481,M,0.6,1.38653722738648,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C88,0.0,0.751322751322749,41,13.0172218573287,M,0.708333333333333,1.17753375304017,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C89,0.0,1.13644214162348,24,18.6259895684936,M,0.5,1.76624064517752,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C90,0.0,1.42718446601941,77,7.55642766611398,F,0.790697674418604,1.27443148542328,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C91,0.0,1.6101321585903,28,11.002207757972,F,0.928571428571428,2.38584906273775,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C92,0.0,1.42416769420468,22,10.4019684981153,M,0.909090909090909,2.01281638591082,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C93,0.0,1.48091603053435,6,6.37797021519872,M,0.0,2.51149615727316,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C94,0.0,0.817901234567901,129,11.8341061332171,M,0.88235294117647,0.885050608648362,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C95,0.0,3.0122699386503,22,15.9297795442731,F,0.692307692307692,2.52722471967514,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C96,0.0,1.20218579234972,87,8.99049868616067,M,0.791666666666666,1.11234099707093,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C97,0.0,1.31728045325779,108,5.22804015124813,M,0.87719298245614,0.963677454825612,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C98,0.0,1.85810356422326,13,17.1561302353593,F,0.444444444444444,2.9453205164229,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C99,0.0,1.41134751773049,71,12.6083990441302,M,0.891891891891891,1.02329248679058,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C100,0.0,1.46564885496182,102,9.76672349954988,M,0.87037037037037,0.977952446128619,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C101,0.0,1.37802026500389,17,11.9631834473087,M,0.7,2.13168059093449,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C102,2.26102024316787,1.30599369085173,10,19.208513106884,M,0.111111111111111,1.56590790212002,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C103,0.0,0.965517241379309,85,10.8107055334562,M,0.75,0.970633608771469,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C104,0.0,1.12775330396475,147,13.7013643346328,M,0.946666666666666,0.854212260151653,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C105,0.0,1.19736842105263,31,11.7703492712876,F,0.363636363636363,1.30025171235008,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C106,0.0,0.996153846153846,105,7.3784363783657,M,1.0,0.940169535840237,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C107,0.0,1.74931506849315,4,11.1621554549353,M,,2.03720588907931,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C108,0.0,1.18852459016393,23,21.0035160080235,M,0.533333333333333,1.47797276795755,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C109,0.0,2.80695652173913,23,8.35703754332709,F,0.769230769230769,1.97502020610828,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C110,0.0,1.05411255411255,120,4.57692855089345,M,0.919354838709677,0.862440192129497,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C111,0.0,1.38848920863309,54,10.2997291670294,M,0.65625,1.12890037330167,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C112,0.0,1.21204819277108,41,14.5945391631381,M,0.782608695652174,1.21491813607616,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C113,0.0,1.27551020408163,10,19.221728107061,F,0.111111111111111,1.41161333314496,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C114,0.0,0.890510948905111,171,5.20736821163118,M,0.931818181818181,0.814789152373117,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C115,0.0,0.964630225080382,104,9.13088893470101,M,0.807017543859649,0.951019765592695,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C116,0.0,1.27096774193548,37,14.9091346890883,M,0.681818181818181,1.29503341725904,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C117,0.0,1.95361527967257,15,11.0411118436476,F,0.666666666666666,2.09533301071079,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C118,0.0,1.32275132275132,30,13.5580521173937,F,0.428571428571428,1.192370729577,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C119,0.0,1.09090909090909,11,25.2625683169339,F,0.1,1.40542016047977,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C120,0.0,1.21739130434782,28,12.3538179294054,F,0.217391304347826,1.83085535971934,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C121,0.0,1.10861132660977,62,10.7425933860538,M,0.848484848484848,1.04784275986055,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C122,0.0,1.26335877862595,15,20.5041863637587,M,0.666666666666666,1.58447133652088,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C123,0.0,0.947826086956523,201,3.01254448885499,F,0.904761904761904,0.770008889424228,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C124,0.0,1.25519287833827,12,17.6551087712466,M,0.333333333333333,1.31991014993327,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C125,5.26684522628784,1.55095541401274,28,16.9447124664794,F,0.647058823529411,1.30360919537161,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C126,0.0,1.46598984771573,15,15.1682314376801,F,0.666666666666666,2.62145415309788,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C127,0.0,2.0079295154185,39,9.04495027216129,M,0.9,2.82733953968852,unk,unk,unk,unk,unk,unk,unk,unk,unk
Q2C128,0.0,1.36427939876215,18,7.66311112922799,F,0.8,2.55230469476066,unk,unk,unk,unk,unk,unk,unk,unk,unk
