,Lamp5,Pvalb,Serpinf1,Sncg,Sst,Vip
Lamp5,0.8404255319148937,0.010638297872340425,0.0,0.02127659574468085,0.0425531914893617,0.0851063829787234
Pvalb,0.0111731843575419,0.8994413407821229,0.0,0.0,0.0893854748603352,0.0
Serpinf1,0.0,0.0,0.0,0.0,0.0,1.0
Sncg,0.10638297872340426,0.0,0.0,0.40425531914893614,0.2127659574468085,0.2765957446808511
Sst,0.01652892561983471,0.14600550964187328,0.02203856749311295,0.09366391184573003,0.5179063360881543,0.20385674931129477
Vip,0.0625,0.00625,0.0375,0.1,0.30625,0.4875
